Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,2,150,0,100,66.0,154.9,30,111937.375,394.32486,14,17707.436,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,30,109197.66,383.56165,14,17515.168,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,30,109589.05,386.49707,14,17553.814,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,30,110763.21,393.34637,14,17663.895,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,30,108414.875,383.56165,15,17596.871,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,30,110763.21,391.38943,14,17719.668,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,30,109197.66,385.5186,14,17499.021,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,30,111937.375,396.2818,13,17608.61,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,150,66.0,154.9,14,108023.484,1792.5636,13,103755.39,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_150offset_0\\150_66.0,154.9,14_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,150,66.0,154.9,14,110763.21,1831.7025,14,104150.68,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-134141\\raw_dumps\\150V\\width_150offset_0\\150_66.0,154.9,14_1.csv' mode='w' encoding='utf-8'>"
