Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,200,20,80,56,138,12,168297.47,673.1898,114,112769.086,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,56,138,12,174559.69,694.71625,113,116528.38,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,56,138,12,172994.12,690.80237,112,115279.836,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,56,138,12,169471.62,677.1037,113,113756.36,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,56,138,12,174168.3,694.71625,114,116277.88,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,56,138,12,171819.97,682.97455,115,114973.586,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,56,138,12,167514.67,667.319,115,111682.98,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,56,138,12,172994.12,688.8454,114,115931.51,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,56,138,12,170254.39,675.1468,114,113312.125,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,56,138,12,174559.69,696.6732,113,116549.9,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_56,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,57,138,12,174559.69,870.8415,111,143454.97,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,57,138,12,172211.34,855.1859,115,142785.72,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,57,138,12,168688.84,837.57336,113,140661.45,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,57,138,12,173776.9,863.0137,113,143379.66,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,57,138,12,169471.62,845.4012,114,141478.47,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,57,138,12,174951.08,868.8845,113,144132.08,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_57,138,12_5.csv' mode='w' encoding='utf-8'>"
