Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,150,0,100,66.0,154.9,24,124070.45,1095.8904,93,121792.55,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,24,119765.164,1056.7515,92,118011.74,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,24,123287.67,1084.1487,93,119737.766,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,24,119765.164,1048.9237,93,117317.04,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,24,123287.67,1088.0626,89,118968.7,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,24,124853.234,1091.9766,91,119162.43,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,24,121722.11,1076.3209,91,119021.52,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,24,122504.89,1080.2349,91,119958.91,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,24,121722.11,1064.5792,93,119465.76,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,24,121330.72,1056.7515,94,117951.08,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,24_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,26,121722.11,896.2818,87,100054.805,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,26,123287.67,904.1096,92,100418.79,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,26,120939.336,884.5401,90,98317.02,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,26,124461.836,904.1096,93,101066.54,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,26,121330.72,884.5401,91,98275.93,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,26,122113.51,892.3679,90,98589.04,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,26,120547.95,884.5401,89,98052.83,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,26,123287.67,892.3679,92,97007.83,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,26,124461.836,911.9374,91,100324.85,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,26,124461.836,908.0235,92,100438.36,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,26_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,28,120547.95,727.9843,91,78330.734,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,28,119765.164,726.0274,91,78785.71,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,28,124461.836,753.4247,91,81227.984,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,28,120939.336,726.0274,93,78650.69,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,28,122113.51,737.7691,91,79397.26,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,28,124070.45,747.55383,92,80908.02,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,28,122113.51,729.9413,92,79408.02,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,28,123287.67,743.6399,92,80118.39,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,28,122113.51,737.7691,91,79377.7,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,28,123679.06,747.55383,92,81005.87,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,28_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,30,122113.51,614.4814,92,66014.68,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,30,123679.06,626.2231,92,67753.43,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,30,123287.67,620.35223,89,66271.05,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,30,121722.11,622.3092,87,66318.01,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,30_3.csv' mode='w' encoding='utf-8'>"
